portfolio_size,mean_std,std_of_std,variance_of_std,n_obs
1,0.18358907133563143,0.06069404517375709,0.0036837671195540655,1000
2,0.15521672020682356,0.03739413028190273,0.0013983209795399147,1000
3,0.14394851729411295,0.02958755483321313,0.0008754234010083935,1000
4,0.13783105265587584,0.0252414315570306,0.0006371298670482602,1000
5,0.13367653660814466,0.022233879175386224,0.0004943453831856732,1000
6,0.13115489586312165,0.019748624741952724,0.0003900081791984673,1000
7,0.12909569449776065,0.01787729400801399,0.00031959764104897293,1000
8,0.12807409790824278,0.01666313670643252,0.0002776601248972587,1000
9,0.1271553331417907,0.01587537752533919,0.0002520276115720446,1000
10,0.126211318079082,0.015080290897630255,0.00022741517355714992,1000
11,0.125573715729494,0.0142808150648282,0.00020394167891582408,1000
12,0.12489358430505058,0.013732611496441787,0.00018858461851220513,1000
13,0.12427103485506272,0.012953047898405744,0.00016778144985839347,1000
14,0.12391100415875864,0.01252673298388093,0.00015691903924945042,1000
15,0.12359764434184567,0.012045289893303475,0.00014508900861371886,1000
16,0.12330951265996762,0.011653655269979779,0.00013580768115152748,1000
17,0.12313838895432516,0.011198080916477074,0.000125397016211968,1000
18,0.12281486604135,0.01087392721373536,0.00011824229304961444,1000
19,0.12275705432529377,0.0107182713044267,0.00011488133975529683,1000
20,0.1225356508842667,0.010332694217082142,0.00010676456978372275,1000
21,0.122393839641044,0.01003759843865081,0.00010075338241560517,1000
22,0.12223999523798144,0.009690411189218073,9.390406901612283e-05,1000
23,0.12207309127098079,0.009462464060366117,8.953822609372041e-05,1000
24,0.12185195908026611,0.009310360059976567,8.668280444640686e-05,1000
25,0.12169522960334368,0.00918156196046105,8.430108003378538e-05,1000
26,0.12148546551886114,0.00902554021517375,8.146037617571862e-05,1000
27,0.12134565484133893,0.008753345736976628,7.662106159104692e-05,1000
28,0.12129406588968086,0.008598517165013538,7.393449743703243e-05,1000
29,0.12112727330923148,0.00839772570636332,7.052179703931532e-05,1000
30,0.12106833405230005,0.008225102091552576,6.765230441646257e-05,1000
31,0.1210836033456955,0.008120247274835669,6.59384158044761e-05,1000
32,0.12093829337273072,0.008035395977634703,6.456758851738796e-05,1000
33,0.12089969992891841,0.007953708772026512,6.326148323021149e-05,1000
34,0.12082124534562307,0.0078828418933896,6.213919631617814e-05,1000
35,0.12072116342526118,0.007770704082961835,6.0383841944959736e-05,1000
36,0.12057532469814683,0.0077380159452316135,5.9876890768658705e-05,1000
37,0.12056454892556182,0.007645855101101407,5.84591002270384e-05,1000
38,0.1204717312763128,0.007521136907525253,5.656750038173853e-05,1000
39,0.12039493852140774,0.007438738186118395,5.533482580161599e-05,1000
40,0.12035022694295205,0.0073775653069206625,5.4428469857879364e-05,1000
